# syncmap benchmark baseline (regenerated before every release).
#
# Scope: every public method, a concurrent read/write pattern, and
# overhead pairs comparing the generic wrapper against raw sync.Map.
# Regenerate with `make bench > bench.txt`, strip trailing PASS/ok
# lines and ANSI escapes, and commit in the same PR as any
# performance-affecting change. CI consumes this via the
# benchstat-regression-guard job (see issue #15).

goos: darwin
goarch: arm64
pkg: github.com/axonops/syncmap
cpu: Apple M2
BenchmarkCompareAndSwap-8                     	22158942	        54.29 ns/op	      56 B/op	       1 allocs/op
BenchmarkCompareAndSwap-8                     	22218878	        54.20 ns/op	      56 B/op	       1 allocs/op
BenchmarkCompareAndSwap-8                     	22137277	        54.59 ns/op	      56 B/op	       1 allocs/op
BenchmarkCompareAndSwap-8                     	21985974	        54.20 ns/op	      56 B/op	       1 allocs/op
BenchmarkCompareAndSwap-8                     	22150335	        54.24 ns/op	      56 B/op	       1 allocs/op
BenchmarkCompareAndSwapMismatch-8             	49218400	        24.34 ns/op	       8 B/op	       0 allocs/op
BenchmarkCompareAndSwapMismatch-8             	49145246	        24.64 ns/op	       7 B/op	       0 allocs/op
BenchmarkCompareAndSwapMismatch-8             	47565253	        24.27 ns/op	       7 B/op	       0 allocs/op
BenchmarkCompareAndSwapMismatch-8             	49890258	        24.20 ns/op	       7 B/op	       0 allocs/op
BenchmarkCompareAndSwapMismatch-8             	49445368	        24.26 ns/op	       7 B/op	       0 allocs/op
BenchmarkCompareAndDelete-8                   	24137097	        49.78 ns/op	      48 B/op	       1 allocs/op
BenchmarkCompareAndDelete-8                   	21058264	        49.77 ns/op	      48 B/op	       1 allocs/op
BenchmarkCompareAndDelete-8                   	23908270	        49.75 ns/op	      48 B/op	       1 allocs/op
BenchmarkCompareAndDelete-8                   	24101305	        49.59 ns/op	      48 B/op	       1 allocs/op
BenchmarkCompareAndDelete-8                   	24468219	        49.59 ns/op	      48 B/op	       1 allocs/op
BenchmarkCompareAndSwapParallel-8             	37613427	        31.11 ns/op	      14 B/op	       1 allocs/op
